JOURNAL,full.name,previous.name,JCRrank,JCRyear
Ann Surg,ANNALS OF SURGERY,,1,2018
Exp Biol Med (Maywood),EXPERIMENTAL BIOLOGY AND MEDICINE,,2,2018
J Pediatr Orthop,JOURNAL OF PEDIATRIC ORTHOPAEDICS,,2,2018
Exp Gerontol,EXPERIMENTAL GERONTOLOGY,,2,2018
Ann Clin Transl Neurol,Annals of Clinical and Translational Neurology,,1,2018
Biomed Res Int,Biomed Research International,,3,2018
J Nutrigenet Nutrigenomics,Journal of Nutrigenetics and Nutrigenomics,,3,2018
Lancet Diabetes Endocrinol,Lancet Diabetes & Endocrinology,,1,2018
J Headache Pain,JOURNAL OF HEADACHE AND PAIN,,1,2018
Psychother Psychosom,PSYCHOTHERAPY AND PSYCHOSOMATICS,,1,2018
Eur J Appl Physiol,EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY,,1,2018
J Hypertens,JOURNAL OF HYPERTENSION,,1,2018
Eur J Haematol,EUROPEAN JOURNAL OF HAEMATOLOGY,,3,2018
J Am Coll Cardiol,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,,1,2018
Hematol Oncol,HEMATOLOGICAL ONCOLOGY,,2,2018
J Cachexia Sarcopenia Muscle,Journal of Cachexia Sarcopenia and Muscle,,1,2018
Immunol Res,IMMUNOLOGIC RESEARCH,,3,2018
J Bone Miner Metab,JOURNAL OF BONE AND MINERAL METABOLISM,,3,2018
Environ Res,ENVIRONMENTAL RESEARCH,,1,2018
J Psychopharmacol,JOURNAL OF PSYCHOPHARMACOLOGY,,1,2018
Open Forum Infect Dis,Open Forum Infectious Diseases,,2,2018
J Innate Immun,Journal of Innate Immunity,,2,2018
Eur J Pain,EUROPEAN JOURNAL OF PAIN,,2,2018
J Altern Complement Med,JOURNAL OF ALTERNATIVE AND COMPLEMENTARY MEDICINE,,2,2018
Respirology,RESPIROLOGY,,1,2018
Heart Surg Forum,HEART SURGERY FORUM,,4,2018
Chin J Integr Med,Chinese Journal of Integrative Medicine,,3,2018
Ann Surg Oncol,ANNALS OF SURGICAL ONCOLOGY,,1,2018
Pain Med,PAIN MEDICINE,,1,2018
Mol Med Rep,Molecular Medicine Reports,,3,2018
J Cell Mol Med,JOURNAL OF CELLULAR AND MOLECULAR MEDICINE,,1,2018
Exp Ther Med,Experimental and Therapeutic Medicine,,4,2018
Heart,HEART,,1,2018
Lipids Health Dis,Lipids in Health and Disease,,3,2018
Clin Exp Hypertens,CLINICAL AND EXPERIMENTAL HYPERTENSION,,4,2018
J Neurosci,JOURNAL OF NEUROSCIENCE,,1,2018
MBio,mBio,,1,2018
Clin Chem,CLINICAL CHEMISTRY,,1,2018
Brief Bioinform,BRIEFINGS IN BIOINFORMATICS,,1,2018
Front Endocrinol (Lausanne),Frontiers in Endocrinology,,2,2018
Placenta,PLACENTA,,1,2018
Schizophr Bull (Bp),SCHIZOPHRENIA BULLETIN,,1,2018
Cardiovasc Diabetol,Cardiovascular Diabetology,,1,2018
Biometrics,BIOMETRICS,,2,2018
Dig Dis Sci,DIGESTIVE DISEASES AND SCIENCES,,3,2018
Gynecol Obstet Invest,GYNECOLOGIC AND OBSTETRIC INVESTIGATION,,4,2018
Nagoya J Med Sci,Nagoya Journal of Medical Science,,4,2018
Int J Sports Med,INTERNATIONAL JOURNAL OF SPORTS MEDICINE,,2,2018
Environ Mol Mutagen,ENVIRONMENTAL AND MOLECULAR MUTAGENESIS,,2,2018
Genes Genomics,Genes & Genomics,,4,2018
Clin Nutr,CLINICAL NUTRITION,,1,2018
Antimicrob Agents Chemother,ANTIMICROBIAL AGENTS AND CHEMOTHERAPY,,1,2018
Platelets,PLATELETS,,2,2018
Med Chem,Medicinal Chemistry,,2,2018
Aust N Z J Psychiatry,AUSTRALIAN AND NEW ZEALAND JOURNAL OF PSYCHIATRY,,1,2018
Epilepsia,EPILEPSIA,,1,2018
Proc Natl Acad Sci U S A,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,,1,2018
Science,SCIENCE,,1,2018
Circ Cardiovasc Genet,CIRCULATION-CARDIOVASCULAR GENETICS,,1,2018
Am J Med Genet B Neuropsychiatr Genet,AMERICAN JOURNAL OF MEDICAL GENETICS PART B-NEUROPSYCHIATRIC GENETICS,,2,2018
JAMA,JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,,1,2018
Alcohol Clin Exp Res,ALCOHOLISM-CLINICAL AND EXPERIMENTAL RESEARCH,,2,2018
G3 (Bethesda),"G3: GENES, GENOMES, GENETICS",,2,2018
Vaccine,VACCINE,,2,2018
Gene,GENE,,2,2018
Cancer,CANCER,,1,2018
Cell,CELL,,1,2018
Commun Biol,COMMUNICATIONS BIOLOGY,,9,2018
J Oncol,JAMA ONCOLOGY,,1,2018
Genes (Basel),GENES,,2,2018
OMICS,OMICS: A JOURNAL OF INTEGRATIVE BIOLOGY,,2,2018
Metabolism,METABOLISM,,1,2018
Cell Physiol Biochem,CELLULAR PHYSIOLOGY AND BIOCHEMISTRY,,1,2018
Oncotarget,ONCOTARGET,,1,2018
Demography,DEMOGRAPHY,,1,2018
Clin Transl Sci,Cts-clinical And Translational Science,,2,2018
J Ophthalmol,Journal Of Ophthalmology,,3,2018
Arch Gen Psychiatry,Archives Of General Psychiatry,,1,2014
J Pediatr,Journal Of Pediatrics,,1,2018
J Androl,Journal Of Andrology,,2,2018
Autoimmune Dis,NA,,9,2018
Arch Neurol,Jama Neurologyeurology,Archives Of Neurology,1,2018
Endocr Relat Cancer,Endocrine-related Cancer,,1,2018
Arch Intern Med,Archives Of Internal Medicine,,1,2014
J Hand Surg Am,Journal Of Hand Surgery-american Volume,,2,2018
Neuroimage,Neuroimage,,1,2018
Prog Neuropsychopharmacol Biol Psychiatry,Progress in Neuro-Psychopharmacology and Biological Psychiatry,,1,2018
J Natl Cancer Inst,NA,,1,2018
J Gerontol A Biol Sci Med Sci,Journals Of Gerontology Series A-biological Sciences And Medical Sciences,,1,2018
Am J Med Genet A,American Journal Of Medical Genetics Part A,,3,2018
Mult Scler,Multiple Sclerosis Journal,,1,2018
Psychiatry Res,Psychiatry Research,,2,2018
Sci China Life Sci,Science In China Series C-life Sciences,,1,2018
Lifestyle Genom,Lifestyle Genomics,,4,2018
JBMR Plus,Journal Of Bone And Mineral Research,,1,2018
Papillomavirus Res,Papillomavirus Research,,9,2018
Neuroimage Clin,Neuroimage: Clinical,,1,2018
Hepatol Commun,Hepatology Communications,,9,2018
Blood Adv,Blood Advances,,9,2018
Mind Brain Educ,Mind Brain And Education,,1,2018
Neuro Oncol,Journal Of Neuro-oncology,,1,2018
Circ Genom Precis Med,Circulation: Genomic and Precision Medicine,,9,2018
Biomark Res,Biomarker Research,,9,2018
Mayo Clin Proc Innov Qual Outcomes,"Mayo Clinc Proceedings Innovations, Quality&",,9,2018
F1000Res,F1000 Research,,9,2018
J Obes,NA,,9,2018
ScientificWorldJournal,The Scientific World Journal,,1,2010
Genomics Inform,Genomics & Informatics,,9,2018
Child Dev,Child Development,,1,2018
Menopause,Menopause-the Journal Of The North American Menopause Society,,1,2018
BMC Proc,BMC Proceedings,,9,2018
Epilepsia Open,Journal Of the International League Against Epilepsy,,9,2018
Cell Rep,Cell Reports,,1,2018
Neurol Genet,Neurogy Genetics,,9,2018
JAMA Netw Open,NA,,9,2018
J Matern Fetal Neonatal Med,Journal Of Maternal-fetal & Neonatal Medicine,,3,2018
Eur Urol Oncol,European Urology Oncology,,9,2018
J Neuromuscul Dis,NA,,9,2018
Epidemiol Health,Epidemiology and Health,,9,2018
Circ Arrhythm Electrophysiol,Circulation-arrhythmia And Electrophysiology,,1,2018
Cancer Treat Res Commun,Cancer Treatment and Research Communications,,9,2018
J Diabetes Complications,Journal Of Diabetes And Its Complications,,3,2018
BMJ,The British Medical Journal,,1,2018
Neuropsychopharmacol Rep,Neuropsychopharmacology Reports,,9,2018
Am J Physiol Lung Cell Mol Physiol,American Journal Of Physiology-lung Cellular And Molecular Physiology,,1,2018
Expert Opin Drug Saf,Expert Opinion On Drug Safety,,2,2018
NPJ Breast Cancer,NPJ Breast Cancer,,9,2018
J Dermatol,Journal Of Dermatology,,1,2018
J Neurol Sci,Journal Of The Neurological Sciences,,2,2018
Glob Health Epidemiol Genom,"Global Health, Epidemiology and Genomics",,9,2018
Bone Rep,Bone Report,,9,2018
Front Cardiovasc Med,Frontiers In Cardiovascular Medicine,,9,2018
Mol Neuropsychiatry,Molecular Neuropsychiatry,,9,2018
J Nutr Intermed Metab,Journal of Nutrition & Intermediary Metabolism,,9,2018
JDR Clin Trans Res,JDR Clinical & Translational Research,,9,2018
Cell Mol Gastroenterol Hepatol,Cellular And Molecular Gastroenterology And Hepatology,,9,2018
Genet Mol Res,Genetics And Molecular Research,,4,2015
J Neurol,Journal Of Neurology,,1,2018
Pac Symp Biocomput,NA,,9,2018
Pflugers Arch,Pflugers Archiv-european Journal Of Physiology,,2,2018
Arch Dis Child Fetal Neonatal Ed,Archives Of Disease In Childhood-fetal And Neonatal Edition,,1,2018
Diabetes Metab Res Rev,Diabetes-metabolism Research And Reviews,,1,2018
Asian Pac J Cancer Prev,Asian Pacific Journal Of Cancer Prevention,,3,2014
J Assoc Res Otolaryngol,Journal Of The Association For Research In Otolaryngology,,1,2018
J Pers Med,Journal Of Personalized Medicine,,9,2018
J Neuroophthalmol,Journal Of Neuro-Ophthalmology,,2,2018
J Stud Alcohol Drugs,Journal Of Studies On Alcohol And Drugs,,2,2018
Wellcome Open Res,Wellcome Open Research,,9,2018
